 Chosen one!, ¡Elegida!
"Here you are, SIR.","Aquí estás, SEÑORA."
Here you go champ. Here's your winnings. That's the last fight today. Come back tomorrow if you want more action.,"Aquí tienes, campeona. Toma tus ganancias. Esa era la última pelea por hoy. Vuelve mañana si buscas más acción."
Here you go. You look half-starved. (Mom hands you a big steaming plate of delicious smelling food.),Aquí tienes. Parece estar medio muerta de hambre. (Mamá te entrega una gran fuente humeante con comida que huele deliciosamente).
"Hero comin' through! Make way, make way!","¡Entra una heroína! ¡Abrid paso, abrid paso!"
"Hero, you want brain candy, you come deal with me. I mark down ALL my shit for you.","Heroína, si quieres colocarte bien, haz negocios conmigo. He rebajado TODO mi material para ti."
"Hey baby, come on over here and I'll give you a nice big wet one.","Oye, nena, ven aquí y te daré un besazo."
"Hey look, Toto. It's the stranger who helped us out. Thanks again, mister.","¡Oye! Mira, Toto. Es la forastera que nos ayudó. Gracias de nuevo, señora."
"Hey look, man. Raul's going to go pay Quincy a visit, you know?
 Raul's going to clean the old man's clock.
 You stay here and watch Raul's birds. Ok?","Eh... mira, amiga. Raúl va a hacerle una visita a Quincy, ¿sabes? Raúl va a decirle cuatro cosas. Tú quédate aquí y vigila los pájaros de Raúl, ¿vale?"
"Hey man, Doofus warned you.","Oye, amiga, Doofus te avisó."
"Hey pal, thanks for the information. My friends down in the Den aren't worried about any
 competition anymore. (evil grin)","Eh, amiga. Gracias por la información. Mis amigos de La Guarida ya no están preocupados por la competencia. (sonríe con malicia)."
Hey stranger!,"¡Eh, forastera!"
"Hey stranger, what are you doing out in these parts?","Eh, forastera, ¿qué estás haciendo por aquí?"
"Hey there, ""Citizen.""","Hola, ""Ciudadana""."
"Hey there, Chosen One! We were just talking about your adventure... can I get you anything to drink?","¡Hola, Elegida! Precisamente estábamos hablando de tus aventuras... ¿puedo traerte algo de beber?"
"Hey there, goody-two-shoes. You've gotta earn your admittance to our bar. You've gotta
 arm-wrestle me, Buck Dunton.","Hola, buenaza. Tendrás que ganarte el derecho de admisión a nuestro bar. Tienes que echar un pulso conmigo, Buck Dunton."
"Hey there, goody-two-shoes. You've gotta earn your admittance to our bar. You've gotta
 arm-wrestle me, Chuck Dunton.","Hola, buenaza. Tendrás que ganarte el derecho de admisión a nuestro bar. Tienes que echar un pulso conmigo, Chuck Dunton."
"Hey there, hero. What can I do for you?","Hola, heroína. ¿Qué puedo hacer por ti?"
"Hey there, mister.","Hola, señora."
"Hey there, movie man. You looking to spend some chips?","Hola, estrella. ¿Quieres gastar algunas fichas?"
"Hey there, partner. Still counting on you for tonight. What can I do for you?","Saludos, socia. Contamos contigo esta noche. ¿Qué puedo hacer por ti?"
"Hey there, welcome back. Anything I can do for you?","Hola, bienvenida de nuevo. ¿Hay algo que pueda hacer por ti?"
"Hey there, you little squirt. What are you doing in our bar? You have to prove yourself to the
 Duntons by arm-wrestling me before we'll let you stay. (ha ha ha)","Oye, mequetrefe. ¿Qué estás haciendo en nuestro bar? Debes mostrarte digna de estar aquí echándonos un pulso a nosotros, los Dunton (ja, ja, ja)."
Hey! Everybody! It's the one who kicked the Enclave's ass!,¡Oíd! ¡Atención todos! ¡Es la que le pateó el culo al Enclave!
Hey! It's the gimp!,¡Hey! ¡Es la coja!
Hey! It's the idiot who can't think for itself!,¡Vaya! ¡Es la idiota que no puede hablar consigo misma!
Hey! It's the one who defeated the Enclave!,¡Vaya! ¡Es la que derrotó al Enclave!
Hey! You're the one who defeated the Enclave!,¡Oye! ¡Eres la que derrotó al Enclave!
"Hey, Boss. I don't mind waiting for you. I'm a real patient man.","Eh, Jefa. No me importa esperarte. Soy un hombre muy paciente."
"Hey, I'm really sorry. I didn't mean to upset you. I'm just stupid. I'll come back later when
 you're not so sick of looking at me.","Eh, lo siento mucho. No quería hacerte enfadar. Sólo soy una estúpida. Volveré más tarde cuando mi presencia no te ponga tan enfermo."
"Hey, bastard, you shouldn't mess with the Rangers.","Oye, zorra, no deberías meterte con los Rangers."
"Hey, brother? Can you help me fly?","¿Hola, hermana? ¿Puedes ayudarme a volar?"
"Hey, champ! That last fight was great!","¡Hey, campeona! ¡Tu última pelea fue fantástica!"
"Hey, champ, wazzup?!","Hey, campeona, ¿cómo lo llevas?"
"Hey, everyone! It's the selfish asshole!",¡Oid todos! ¡Es la zorra egoísta!
"Hey, fren, just tell us to get out of your way.","Eh, miga, tan sólo dinos que nos apartemos de tu camino."
"Hey, fren. Our name be Sulik. What you be needin'.","Eh, miga. Nuestro nombre es Sulik. ¿Qué es lo que quieres?"
"Hey, friend...share some of that shit you're on.","Oye, amiga… pasa algo de esa mierda que tienes."
"Hey, get your hands off that, punk!","¡Eh, quítale a eso las manos de encima, gamberra!"
"Hey, good-looking, you want to go some place private and have a little fun?","Oye, guapa, ¿quieres ir a un lugar privado y divertirte un poco?"
"Hey, hero! Lemme buy you a drink, all right?","¡Oye, heroína! Deja que te invite a una copa, ¿de acuerdo?"
"Hey, hero! You lookin' to celebrate with some Jet? Talk to me!","¡Oye, heroína! ¿Quieres celebrarlo con algo de Jet? ¡Habla conmigo!"
"Hey, hey, hey! Chica, you need to me to put that weapon away for you?","¡Hey, hey, hey! Chica, ¿necesitas que yo te quite ese arma?"
"Hey, hey, hey, welcome back! What is it you need from Jules, my friend?","¡Hey, hey, hey, bienvenida de nuevo! ¿Qué necesitas de Jules, amiga mía?"
"Hey, man! Raul don't like it when people mess with his shit. Get out, man.","¡Eh, amiga! A Raúl no le gusta que la gente meta las narices en sus cosas. Lárgate, amiga."
"Hey, man, say your prayers!","Eh, amiga, ¡reza lo que sepas!"
"Hey, man, what's up? We under attack?","Eh, amiga, ¿qué pasa? ¿Nos atacan?"
"Hey, man.","Eh, tía."
"Hey, muscles. You looking to spend some chips?","Oye, fortachona. ¿Quieres gastar algunas fichas?"
"Hey, the little pale skin's back!","¡Vaya, la pequeña rostro pálido ha vuelto!"
"Hey, uh...you got any Jet, friend?","Oye, eh… ¿tienes algo de Jet, amiga?"
"Hey, uh...you got any Jet, friend? Man, I need to *fly,* know what I'm saying?","Oye, eh… ¿tienes algo de Jet, amiga? Amiga, neecesito *volar*, ¿sabes a qué me refiero?"
"Hey, welcome back!","¡Oye, bienvenida de nuevo!"
"Hey...you all right? You seem a little out of it. You ain't on chems, are you? Cause I AIN'T gonna shoot you like this.","Oye... ¿estás bien? Pareces un poco descolocada. No has tomado drogas, ¿verdad? Porque NO voy a rodar contigo así."
"Hi! Welcome to Red 888 Guns! I'm Mai Da Chiang, the owner. How can I help you?","¡Hola! ¡Bienvenida a Armas 888 Rojo! Soy Mai Da Chiang, el propietario. ¿Cómo puedo ayudarte?"
"Hi, I'm new here.","Hola, soy nueva."
Him: Too bad. Her: You're committed now.,Él: Qué pena. Ella: Ahora estás comprometida.
"His name's Morton, and they call him Frog 'cause he croaks people. Ready to go get 'im?","Se llama Morton, y le llaman Rana porque es un bicho rastrero. ¿Lista para ir a por él?"
Hit me! Come on you fucking wimp! Hit me!,"¡Dame! ¡Vamos, maldita debilucha! ¡Dame!"
"Hmm, I guess I'm not that tired. Let me ask you about something else. ","Hmm, supongo que no estoy tan cansada. Deja que te pregunte por otro tema. "
"Hmm, I think you just better clear out of here before Big Nose Sally finds you. She doesn't
 take kindly to idjits in her place.","Hmm, creo que será mejor que te vayas de aquí antes de que Sally la Narizotas te encuentre. No suele tratar muy bien a las idiotas."
"Hmm, maybe I've been hasty in my judgment.","Hmm, quizá me haya precipitada en mi juicio."
"Hmm, you're not a friend of Skeeter's, are you? He's always trying to get me to give him
 valuable supplies. Then he just pulls the stuff apart and breaks it. I wouldn't trust him to fix a
 toaster.","Hmm, ¿no serás una amiga de Skeeter? Siempre está intentando que le dé cosas valiosas, empieza a trastear con ellas y las rompe. No confiaría en él ni para reparar una tostadora."
Hmmm. You're not quite what I'm looking for. Sure you can handle yourself?,Hmmm. No eres realmente lo que estoy buscando. ¿Seguro que puedes valerte por ti misma?
"Hmmmm. All right, everything seems to be in order. Sorry to disturb you, Citizen. Vault City prevails.","Hmmmm. Está bien, todo parece estar en orden. Lamento la molestia, Ciudadana. Ciudad Refugio prevalece."
"Hmmph, another cheating smoothskin.","Hmmph, otra piel suave traicionero."
Ho! Made Man comin' through!,¡Eh! ¡Viene una iniciada!
"Hold it right there, I'll be back in a few.","Espera aquí quieta, volveré dentro de poco."
"Hold on a minute there, tribal... you did good. I got another job for you, IF you're interested.","Espera aquí un minuto, tribal… lo hiciste bien. Tengo otro trabajo para ti, si estás INTERESADA."
"Hold on a minute there, tribal...(Smiles, taps briefcase.) Ol' Tomcat says you're a team player. I need people like that.
 I got a job for you, if you're interested.","Espera ahí un momento, tribal… (sonríe mientras cierra el maletín). El viejo Tomcat dice que eres una jugadora de equipo. Necesito gente así. Tengo un trabajo para ti, si estás interesada."
"Hold on a moment. (Studies you.) You seem to be...new in town. Would you care to join
 me for a drink in my chambers? We can discuss New Reno; it's a dangerous place to those
 unfamiliar with its ways.",Espera un momento (Te estudia). Pareces… nueva en la ciudad. ¿Te importaría venir a tomar una copa en mis aposentos? Podemos charlar sobre Nuevo Reno; es un lugar peligroso para quien no conozca sus caminos.
"Hold on a moment... you're an Outsider, correct? Where are you from?","Espera un momento... eres una forastera, ¿verdad? ¿De dónde vienes?"
Hold on a moment...I don't recall seeing you around before. Are you a Citizen?,Espera un momento... no recuerdo haberte visto antes por aquí. ¿Eres una Ciudadana?
Hold still so Kaga can get a good shot,Quédate quieta para que Kaga pueda disparar mejor.
"Honored sir, I recommend you seek out your cult's doctors.","Honorable señora, le recomiendo que busque a los médicos de su culto."
Hope everything's going well for my favorite customer! What can we do for you today?,¡Espero que todo le vaya bien a mi cliente favorita! ¿Qué podemos hacer por ti?
Hope you're proud of yourself.,Espero que estés orgullosa de ti misma.
How *dare* you question me?! I'm a Citizen! Here are my papers!,¡¿Cómo *osas* cuestionarme?! ¡Soy una Ciudadana! ¡Aquí están mis documentos!
How can I become a Citizen?,¿Cómo puedo convertirme en Ciudadana?
"How can I help you, friend?","Como puedo ayudarte, ¿amiga?"
How did you get into our City? Guards! We have an Outworlder that needs to be escorted to the gate!,¿Cómo has entrado en nuestra ciudad? ¡Guardias! ¡Tenemos a una errante que necesita ser escoltada hasta la salida!
How does one become a Citizen of Vault City?,¿Cómo se convierte una en Ciudadana de Ciudad Refugio?
How unfortunate. Then rest and be welcome in my camp.,Qué desgraciada. Entonces descansa y sé bienvenida a mi campamento.
How'd you know I'm a Ranger?,¿Cómo sabías que soy una Ranger?
"How's it hanging, champ?","¿Cómo lo llevas, campeona?"
How's this Boss?,"¿Así, Jefa?"
"Howdy stranger, my name's Whiskey Bob. What's yours?","Saludos, forastera. Mi nombre es Whisky Bob. ¿Cuál es el tuyo?"
"Howdy, friend.","¡Hola, amiga!"
"Howdy, my name's Whiskey Bob. What's yours, fella?","Hola, ¿qué tal? Mi nombre es Whisky Bob. ¿Cuál es el tuyo, amiga?"
"Howdy, stranger!","¡Hola, extranjera!"
"Howdy, stranger.","Saludos, forastera."
"Howdy, stranger. Welcome to town. What's your name?","Buenas, forastera. Bienvenido a la ciudad. ¿Cuál es tu nombre?"
Huh? I am well aware that you are human. I was inquiring about your name.,Eh? Soy consciente de que eres humana. Te estaba preguntando tu nombre.
Huh? You a real Made Man?,"¿Eh? ¿Eres real, iniciada?"
Human weapons cannot harm me!,¡Las armas humanas no pueden dañarme!
"Humph, I don't need your help. You're just a tribal.","Hmph, no necesito tu ayuda. Solo eres una tribal."
"Hungry, stranger? I got the best lizard around. Ask anybody!","¿Hambrienta, forastera? Tengo la mejor iguana de los alrededores. ¡Pregúntale a cualquiera!"
I *am* a Citizen.,Yo *soy* una Ciudadana.
"I AM a true believer, brother. How can I prove my devotion?","SOY una verdadera creyente, hermano. ¿Cómo puedo demostrarte mi devoción?"
"I AM one of Bishop's lieutenants. Now are we gonna deal, or what?",SOY una de los lugartenientes de Bishop. ¿Hacemos un trato o qué?
"I LOVE that about you. (Makes sweeping gesture at Cat's Paw.) You are always welcome here, free of charge.","TODA tú me encanta. (Hace un ademán hacia La Garra de la Gata). Siempre serás bienvenida aquí, y sin coste alguno."
I LOVE you! You are a HERO. A GODDAMN HERO. I COULD HUG YOU TO DEATH.,¡Te QUIERO! Eres una HEROÍNA. UNA MALDITA HEROÍNA. TE ABRAZARÍA HASTA MATARTE.
"I WARNED you, asshole, now you're... (Mason suddenly pauses, listening to something you can't hear. After a moment, his teeth clench.) Mr. Salvatore says you may come in... ","Te he AVISADO, imbécil, ahora vas a... (Mason se detiene de repente, escucha algo que tú no puedes oír. Tras un momento, aprieta los dientes). El señor Salvatore dice que puedes entrar... "
I ain't looking for no tribal ass right now. Come back later.,No tengo tiempo para una apestosa tribal ahora mismo. Vuelve más tarde.
"I already gave you the flint, stupid. Now stop wasting my time and get out of here!","Ya te di el pedernal, estúpida. Ahora deja de hacerme perder el tiempo y ¡lárgate de aquí!"
"I already gave you the flint, stupid. Oh well, at least I got my powders. Now off with you! I don't have time to gossip.","Ya te di el pedernal, estúpida. Oh bien, al menos tengo mis polvos. ¡Ahora lárgate! No tengo tiempo para estar de cháchara."
I always knew you were a thief!,¡Siempre supe que eras una ladrona!
"I am Citizen SERGEANT Stark, Citizen. Was there something I could help you with?","Soy el Ciudadano SARGENTO Stark, Ciudadana. ¿Hay algo en lo que pueda ayudarte?"
"I am Citizen SERGEANT Stark, Outsider. What do you want?","Soy el Ciudadano SARGENTO Stark, forastera. ¿Qué es lo que quieres?"
I am Jobe. It is your time to be beaten.,Soy Jobe. Es hora de que seas vencida.
"I am Ken Lee, advisor to the Emperor. And you, my friend, appear to be simpleminded, so remember this: if you seek the Enclave, then you must take the Poseidon tanker to it. You'll need fuel for the tanker. You have my blessing.","Soy Ken Lee, consejero del Emperador. Y tú, amiga mía, parecer ser una ingenua, así que recuerda esto: si buscas al Enclave, entonces debes usar el petrolero Poseidon para ello. Necesitarás combustible para él. Tienes mi bendición."
"I am Ken Lee. I am the advisor to the Emperor. The Emperor advises me not to talk to you, and so I will not. Good day, fool.","Soy Ken Lee. Soy el consejero del Emperador. El Emperador me aconseja no hablar contigo, así que no lo haré. Buenos días, boba."
I am Master Krall. You are finished.,Soy el maestro Krall. Estás acabada.
I am Master Rube. You are finished.,Soy el maestro Rube. Estás acabada.
"I am Mr. Salvatore's representative. You will give me the tribute I have asked for, and you will do so now.","Soy la representante del señor Salvatore. Me entregarás el tributo que he pedido, y lo harás ahora."
I am Smitty. It is your time to be beaten.,Soy Smitty. Es hora de que seas vencida.
I am a simple traveler.,Soy una simple viajera.
I am a traveler looking for a Garden of Eden Creation Kit. Have you ever heard of one?,Soy una viajera que busca un Kit de Creación del Jardín del Edén. ¿Sabes de alguno?
I am a traveler looking for a place called Vault 13. Have you seen it?,Soy una viajera que busca un lugar llamado Refugio 13. ¿Lo conoces?
I am a warrior on a holy quest to retrieve the Garden of Eden Creation Kit. Do you know where I might find it?,Soy una guerrera con la sagrada misión de recuperar el Kit de Creación del Jardín del Edén. ¿Sabes dónde puedo encontrarlo?
I am honored to serve the Chosen.,Me honra servir a la Elegida.
"I am in need of help, child. Can you help me?","Necesito ayuda, chica. ¿Puedes ayudarme?"
I am not a man!,¡No soy tu amiga!
I am now the mightiest amongst my pack.,Soy la más fuerte de mi manada.
I am sick.,Estoy enferma.
"I am still in need of help, child. Can you help me?","Sigo necesitando ayuda, chica. ¿Puedes ayudarme?"
I am the Chosen One.,Soy la Elegida.
"I am the car hop, man. I watch cars - $5. Nobody touches them, cause Doofus's on the job.","Soy el gorrilla, amiga. Vigilo los coches: 5 dólares. Nadie los toca, porque Doofus está ojo avizor."
"I am the descendant of the Vault Dweller, First Citizen. The GECK is required to help my village.","Soy la descendiente del Morador del Refugio, Primer Ciudadano. Necesito el GECK para ayudar a mi poblado."
I am the descendant of the Vault Dweller. The GECK is needed to help my village.,Soy la descendiente del Morador del Refugio. Necesito el GECK para ayudar a mi poblado.
I am the descendant of the first Vault Dweller -- that should be enough.,Soy la descendiente del primer Morador del Refugio: eso debería bastar.
I am the great grandchild of the first Vault Dweller.,Soy la bisnieta del primer Morador del Refugio.
"I bet you do. Sorry, but I'm too busy right now. Goodbye.","Apuesto a que sí. Lo siento, pero estoy ocupada ahora mismo. Adiós."
I better go find something to help me stay awake. Goodbye.,Mejor que encuentre algo que me ayude a estar despierta. Adiós.
"I bring you peace, lost one.","Te traeré paz, Perdida."
I can find my own way.,Puedo ir yo sola.
I can handle myself.,Puedo arreglármelas sola.
"I can take care of myself. Right now I'm the Sheriff in these here parts, and I'm taking you in.","Puedo cuidar de mí misma. Ahora mismo soy la sheriff de este lugar, y te voy a llevar conmigo."
"I can't believe that you were dumb enough to give Fannie enough money all at once to overdose
 herself. You're just an idjit, ain't ya?","No me puedo creer que fueras tan estúpida como para darle a Fannie dinero suficiente para que sufriese una sobredosis. No eres más que una idiota, ¿sabías?"
I can't see! You bastard!,"¡No puedo ver, zorra!"
I could use some help... I've been irradiated.,Necesitaría ayuda... estoy irradiada.
"I could, if I wanted too. But I'm too busy to mess with you right now.","Podría, si quisiera hacerlo. Pero estoy demasiado ocupada como para encargarme de ti ahora mismo."
"I do not believe the Emperor would like to see you. I have been told to forbid entrance to those who offend me or who reek of evil. You do both, traveler. Good day.","No creo que el Emperador quiera verte. Se me ha dicho que prohiba la entrada a todos aquellos que me ofenden o apestan a maldad. Para ti son ambas cosas, viajera. Buenos días."
I don't know how you became Captain. You're nothing but a mutant to me. If only someone would believe me...,No sé cómo lograste hacerte capitán. Para mí no eres más que una mutante. Si tan solo alguien me creyera...
I don't know how you became a Citizen. You're nothing but a mutant to me. If only someone would believe me...,No sé cómo lograste hacerte Ciudadana. Para mí no eres más que una mutante. Si tan solo alguien me creyera...
"I don't know what you're talking about, pal. Do you want to trade or not?","No sé de qué estás hablando, amiga. ¿Quieres comerciar o no?"
I don't know what you're talking about. I am a citizen.,No sé de lo que estás hablando. Soy una Ciudadana.
"I don't like traveling alone either, so I can't blame you.","A mí tampoco me gusta viajar sola, no te culpo."
"I don't like you. You're a big stupid-head! (Sticks out his tongue.) Get outta here, stupid-head!","No me gustas. ¡Eres una gran estúpida! (te saca la lengua). ¡Vete de aquí, estúpida!"
I don't need a Day Pass. I'm a Citizen.,No necesito un pase de día. Soy una Ciudadana.
"I don't see that there's much I need to talk about with a mutant. Soon, when real humans retake the planet for their own, you'll just be another unfortunate reminder of the war. ","No veo por qué tengo que hablar con una mutante. Pronto, cuando los auténticos humanos tomemos el planeta para nosotros, tú sólo serás un desafortunado recuerdo de la guerra. "
I don't think I'm ready for this; I better go.,"No creo que esté preparada para esto, mejor me voy."
I don't think I'm ready to take a bath with someone else watching; I'm going to leave.,No creo que esté lista para darme un baño mientras alguien me mira; será mejor que me vaya.
I don't think I'm the one for the job... goodbye.,No creo que sea la indicada para el trabajo... adiós.
I don't think you will. I think you want to see what kind of man I am.,No creo que lo hagas. Creo que quieres ver qué clase de mujer soy.
I don't think you'll be too tough.,No creo que vayas a ser demasiado dura.
I don't think you're all that tough.,No creo que seas tan dura.
I don't want anything to do with a slaver. Goodbye.,No quiero tener nada que ver con una esclavista. Adiós.
"I expect that kind of rudeness from an Outworlder, not a Citizen. I am a member of the Vault City Council, and you will show me the proper respect, or I will have your Citizenship revoked. Do you understand me?","Presupongo ese tipo de rudeza en una errante, no en una Ciudadana. Soy miembro del Consejo de Ciudad Refugio, y me mostrarás el debido respeto, o haré anular tu Ciudadanía. ¿Me has entendido?"
I felt that something was missing. Here's $5; I'm ready to be Greeted.,Sentía que me faltaba algo. Aquí van 5 dólares; estoy lista para ser recibida.
I got better.,"Eh... sí, estoy unida"
"I got enough Jet to put you in orbit, friend. Shall we talk price?","Tengo suficiente Jet como para ponerte en órbita, amiga. ¿Discutiremos el precio?"
"I got enough Jet to put you in orbit, my fine friend. And for you: a discount. Shall we talk price?","Tengo Jet suficiente como para ponerte en órbita, mi nueva mejor amiga. Y para ti, un descuento. ¿Hablamos del precio?"
"I got no patience for idiots. Sorry, pal, but you'll have to find someone else to play with.","No tengo paciencia para los idiotas. Lo siento, amiga, pero tendrás que buscar a algún otro con quien jugar."
"I got shit that'll help you kiss the sky, friend.","Tengo material que te hará subir hasta el cielo, amiga."
"I got shit that'll help you kiss the sky, friend.  And for you: a discount. That sound all right?","Tengo material que te ayudará a llegar al cielo, amiga. Y para ti, un descuento. ¿Suena eso lo suficientemente bien?"
"I got shit that'll help you kiss the sky, hero.","Tengo material que te hará subir hasta el cielo, heroína."
"I got shit that'll help you kiss the sky, hero.  And for you: a nice discount. How does that sound?","Tengo material que te ayudará a llegar al cielo, heroína. Y para ti, con un buen descuento. ¿Cómo te suena?"
"I got the shakes bad, man.","Tengo tembleques gordos, tía."
I guess I got confused. Must be all this radiation. Goodbye.,Supongo que estoy confusa. Debe de ser toda esta radiación. Adiós.
I guess I'm ready to get started.,Supongo que estoy lista para empezar.
I guess picking up? I'm interested in buying some traveling provisions.,¿A recoger? Estoy interesada en comprar algunas provisiones para el viaje.
I guess you're not a spy.,Supongo que no eres una espía.
I had you figured for a wuss.,Ya te había supuesto una cobarde.
I hate this goddamn town.,Odio esta puta ciudad.
I have heard of your act of heroism. We are all in your debt... Chosen One.,He oído hablar de tu heroico acto. Estamos en deuda contigo... Elegida.
"I have no desire to remove my fur, master.","No deseo retirar mi pelo, ama."
"I have taught you all I can, Chosen One. Good luck on your quest.","Te he enseñado todo lo que sé, Elegida. Buena suerte en tu búsqueda."
"I have to get back to work. You be good and careful here, okay?","Debo volver al trabajo. Sé buena y cuídate, ¿vale?"
"I hear you were an unknown, fresh out of the wastes, before you came to box in New Reno. Where are you from?","He oído que eres una desconocida, procedente del Yermo, antes de que vinieras a boxear a Nuevo Reno. ¿De dónde eres?"
"I just didn't know what to say to someone as attractive as yourself. I always get nervous when
 I'm near a beautiful woman. Please accept my apologies.","Tan sólo es que no sabía qué decirle a una persona tan atractiva como tú. Siempre me pongo nerviosa cuando estoy cerca de una mujer hermosa. Por favor, acepta mis disculpas."
I just want to be alone.,Sólo quiero estar sola.
"I just wanted to apologize. I didn't mean to screw up. I'm just not as good at rustling as you
 two. Besides, I need something from you.","Tan sólo quería disculparme, no quería cabrearos. Sólo es que no soy tan buena como vosotros robando ganado. Además, necesito algo."
"I kinda had you pegged for that type when I first saw you, but I wasn't sure. Get out of here,
 you frigging nutcase!","Tuve la sensación de que eras una de esos desde la primera vez que te ví, pero no estaba seguro. ¡Sal de aquí, maldito lunático!"
I knew I heard the chow-bell.,Sabía que había escuchado la llamada a comer.
"I knew I wasn't too old for this. Those were just bad odds! Right, Boss?","Sabía que no era demasiado viejo para esto. ¡Sólo fue algo de mala suerte! ¿Verdad, Jefa?"
"I know Lenny's death ain't no accident, you bastard.","Sé que la muerte de Lenny no fue ningún accidente, zorra."
"I know my boys have taken up with some poor sorts, but you're the worst yet. I just can't
 believe that you let them down. I won't have you in my place. Now, get out.","Sé que mis chicos no suelen mezclarse con buena gente, pero tú eres la peor que he visto. No puedo creerme que les hayas fallado así. No entrarás aquí. Ahora, largo."
"I know that you couldn't spare any money for the official town greeter earlier, but perhaps
 (hic) this time you are feeling more generous and are ready to be greeted 'officially' to Klamath.","Ya sé que antes no podías gastar ni una moneda en el guía oficial del pueblo, pero quizás (hic) esta vez te sientas más generosa y estés dispuesta para ser recibido 'oficialmente' en Klamath."
"I know what you're looking for, friend, and I got it. All the Jet you NEED.","Sé lo que estás buscando, amiga, y lo tengo. Todo el Jet que NECESITAS."
"I know you're a tribal and all, but this is a bathhouse, not an outhouse. Git out afore I have
 you thrown out!","Sé que eres una tribal y todo eso, pero esto es una casa de baños, no un retrete. ¡Vete de aquí antes de que te eche a patadas!"
I like you. You're a good one.,Me gustas. Eres buena.
"I love you, man!","¡Te quiero, tía!"
"I love you, man.","Te quiero, amiga."
"I might be bored. Why, you looking for some excitement, princess?","Puede que esté aburrida. ¿Por qué? ¿Estás buscando algo de juerga, princesa?"
I miss Smoke. Why couldn't you save him? You're the Chosen One.,Hecho de menos a Smoke. ¿Por qué no pudiste salvarle? Eres la Elegida.
I only need one finger for *you* bub.,"Solo necesito un dedo para *ti*, nenaza."
"I really owe you one, Boss.","De verdad que te debo una, Jefa."
"I run the Corrections Center. And obey your orders, sir.","Dirijo el Centro Correccional. Y obedezco sus órdenes, señora."
I said get out. Are you deaf as well as yellow?,Te he dicho que te largues. ¿Estás igual de sorda que de morena?
I said ta talk ta Metzger. You fucking deaf and dumb or just dumb?,He dicho que hables con Metzger. ¿Tas sorda e idiota o sólo idiota?
I see we have nothing more to say to each other unless I can prove it to you.,"Ya veo que no podemos decirnos nada más la una a la otra, a menos que te lo pueda demostrar."
"I see...well, look: I'm interested in a job, if you're still offering.","Ya veo… bien, oye: estoy interesada en un trabajo, si aún lo seguís ofreciendo."
"I spent most of the day today updating that list for the List Office. It was good, honest, productive work.","He pasado la mayor parte del día actualizando una lista para la Oficina de Listas. Honestamente, ha sido un buen y productivo trabajo."
"I spoke to your son, Senor Mordino. I'm a slaver, and I'm looking for work.","He hablado con su hijo, señor Mordino. Soy una esclavista, y estoy buscando trabajo."
"I spoke to your son, Senor Mordino. I'm a slaver, and I'm looking to sell slaves.","He hablado con su hijo, señor Mordino. Soy una esclavista, y busco vender esclavos."
"I suppose I can understand. You'll be equally understanding, I hope, when I tell you to get the
 hell out of my sight. Traitor.",Supongo que lo puedo entender. Espero que tú tendrás la misma comprensión cuando te diga que salgas de mi vista cagando leches. Traidora.
I sure didn't feel good about what I did.,No me siento orgullosa de lo que he hecho.
"I tell you, spreading the word of Hubology out here is harder than you can imagine! AHS-9 just doesn't understand the difficulty. In fact, I've written it all down. Say, would you be willing to deliver it to AHS-9 in San Francisco? I can't promise any reward, but I know AHS-9 will appreciate it.","¡Te aseguro que difundir la palabra de la Hubología ahí fuera es más difícil de lo que puedas imaginar! AHS-9 simplemente no entiende las dificultades. De hecho, lo tengo todo por escrito. Oye, ¿estarías dispuesta a entregárselo a AHS-9 en San Francisco? No puedo prometerte una recompensa, pero sé que AHS-9 lo agradecerá."
"I thank you, human. Let us kick some Enclave ass! Pack Gruthar! Grrrrrrrhh!","Te lo agradezco, humana. ¡Vamos a patear algunos culos del Enclave! ¡Manada de Gruthar! ¡Grrrrrrrhh!"
I think I've read enough warnings. I'm ready to use the thing now.,Creo que ya he leído suficientes avisos. Estoy lista para usar esta cosa ahora.
I think you've mistaken me for someone who wants to meet men like you in the bathrooms.,Creo que me has confundido con alguien que quiere conocer mujeres como tú en los aseos.
I thought you were one of the good ones. I ain't coming with you.,Pensé que eras una de las buenas. No te acompaño.
I tire of this. We'll talk again later.,Estoy cansada de esto. Volveremos a hablar más tarde.
I told Daddy you were a bad man.,Le dije a papá que eres una mujer mala.
"I told you not to come back until you found Lloyd...I TOLD you. (Taps his head.) Are you stupid?! Must be,
 cause here you are talking to me again. Stupid...and DEAD.","Te dije que no volvieras hasta que hubieses encontrado a Lloyd… te lo DIJE. (Se golpea la cabeza) ¡¿Eres idiota?! Debes serlo, porque vuelves aquí a hablar conmigo. Idiota… y MUERTA."
"I told you not to come back until you got that money...I TOLD you. (Taps his head.) Are you stupid?!
 Must be, cause here you are talking to me again. Stupid...and DEAD.","Dije que no volvieras hasta conseguir el dinero… lo DIJE. (se golpea la frente) ¡¿Eres idiota?! Seguro que sí, cuando vuelves por aquí. Idiota… y MUERTA."
"I tried, Boss, but I'm not doing so hot. I'll do what I can though.","Lo intenté, Jefa, pero no me encuentro muy bien. Aunque haré lo que pueda."
I wanna save th'world just like you when I grow up.,Quiero salvar al mundo igual que tú cuando me haga mayor.
I want to be a Hubologist. How do I join?,Quiero ser un una Hubologista. ¿Cómo me puedo unir?
